#,Title,Synergy Tags,Result,Team,Pd.,Clock,Player,Synergy String
121,Owen Evans,"Offense, Defense, Cut, 2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,Elmira,2,17:24,Owen Evans,22 Owen Evans > Cut > Basket > Miss 2 Pts
122,Matt Caggiano,"Offense, Transition, 2FGM",Make 2 Pts,Rochester Institute of Technology Tigers,2,17:15,Matt Caggiano,5 Matt Caggiano > Transition > Ballhandler > To Basket > Make 2 Pts
123,Dylan Jacob,"Offense, Defense, P&R BH, Cut, Foul",Foul,Elmira,2,17:00,Tyler Cardello,1 Dylan Jacob > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 30 Tyler Cardello > Cut > Basket > Foul
124,Tyler Cardello,"Offense, FTM",Free Throw,Elmira,2,17:00,Tyler Cardello,30 Tyler Cardello > Non Possession > Free Throw
125,Tyler Cardello,"Offense, FTM",Free Throw,Elmira,2,17:00,Tyler Cardello,30 Tyler Cardello > Non Possession > Free Throw
126,Kenny Wilburn,"Offense, Spot Up, 2FGm",Miss 2 Pts,Rochester Institute of Technology Tigers,2,16:45,Kenny Wilburn,3 Kenny Wilburn > Spot-Up > Drives Right > To Basket > Miss 2 Pts
127,Zac Ditzel,"Offense, Off Reb, 2FGM, Off Reb",Make 2 Pts,Rochester Institute of Technology Tigers,2,16:45,Zac Ditzel,20 Zac Ditzel > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts
128,Dylan Jacob,"Offense, Defense, Post Up, Cut, Foul",Foul,Elmira,2,16:17,Owen Evans,1 Dylan Jacob > Post-Up > Left Block > Defense Commits > Ball Delivered > 22 Owen Evans > Cut > Basket > Foul
129,Owen Evans,"Offense, FTM",Free Throw,Elmira,2,16:17,Owen Evans,22 Owen Evans > Non Possession > Free Throw
130,Owen Evans,"Offense, FTM",Free Throw,Elmira,2,16:17,Owen Evans,22 Owen Evans > Non Possession > Free Throw
131,Matt Caggiano,"Offense, P&R BH, 2FGM",Make 2 Pts,Rochester Institute of Technology Tigers,2,16:03,Matt Caggiano,5 Matt Caggiano > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > To Basket > Make 2 Pts
132,Tyler Cardello,"Offense, Defense, Spot Up, Turnover, Steal",Turnover,Elmira,2,15:46,Tyler Cardello,30 Tyler Cardello > Spot-Up > Drives Right > Turnover
